Nr.,Type,bolt_num,BL,sBL,dia_1,dia_2,gear1_x,gear1_y,gear1_z,gear2_x,gear2_y,gear2_z,bolt1_x,bolt1_y,bolt1_z,bolt2_x,bolt2_y,bolt2_z,bolt3_x,bolt3_y,bolt3_z,bolt4_x,bolt4_y,bolt4_z,bolt5_x,bolt5_y,bolt5_z,euler_x,euler_y,euler_z
TypeA0_0001,0,4,6.678,1.752,4.179,6.487,2.0896,1.0,12.3921,2.443,0.333,15.835,0.096,-2.953,10.969,4.214,-2.953,11.173,4.248,-2.953,17.893,-2.123,-2.953,14.678,0.0,0.0,0.0,6.467,1.2363,0.6245
TypeA0_0002,0,4,6.539,1.443,3.767,5.68,1.8833,1.0,11.8266,2.04,0.333,14.867,-0.267,-2.953,11.186,3.991,-2.953,11.058,3.11,-2.953,17.343,-0.823,-2.953,17.437,0.0,0.0,0.0,11.7592,-4.0528,0.5325
TypeA0_0003,0,3,6.992,0.718,3.601,5.474,1.8005,1.0,11.4429,1.937,0.333,14.38,0.128,-2.953,10.075,3.564,-2.953,10.195,-1.521,-2.953,16.178,0.0,0.0,0.0,0.0,0.0,0.0,2.9856,-0.4919,-2.004
TypeA0_0004,0,4,6.236,0.871,3.771,5.123,1.8855,1.0,11.0685,1.761,0.333,13.83,-0.051,-2.953,9.931,4.083,-2.953,10.606,3.143,-2.953,15.904,-1.778,-2.953,13.252,0.0,0.0,0.0,-3.6368,0.2761,-4.0256
TypeA0_0005,0,4,7.314,1.517,4.399,5.6,2.1996,1.0,12.7951,2.0,0.333,15.795,-0.26,-2.953,12.088,4.52,-2.953,11.714,2.747,-2.953,18.653,-1.698,-2.953,15.171,0.0,0.0,0.0,-13.179,0.2632,-1.3829
TypeA0_0006,0,3,6.398,1.687,3.909,5.709,1.9545,1.0,11.826,2.055,0.333,14.881,-0.046,-2.953,10.661,3.796,-2.953,10.424,-1.847,-2.953,13.73,0.0,0.0,0.0,0.0,0.0,0.0,6.3367,4.5725,-0.5374
TypeA0_0007,0,3,7.14,1.897,3.556,6.466,1.7782,1.0,13.2275,2.433,0.333,16.66,-0.005,-2.953,12.047,3.769,-2.953,12.447,-2.612,-2.953,16.525,0.0,0.0,0.0,0.0,0.0,0.0,7.0418,-1.1671,2.5409
TypeA0_0008,0,3,7.674,1.748,4.038,6.209,2.0188,1.0,13.488,2.305,0.333,16.793,-0.113,-2.953,12.433,4.356,-2.953,13.045,4.661,-2.953,17.186,0.0,0.0,0.0,0.0,0.0,0.0,-12.1519,3.4237,0.8805
TypeA0_0009,0,4,7.046,1.676,4.278,5.826,2.1392,1.0,12.4033,2.113,0.333,15.516,-0.086,-2.953,11.266,4.574,-2.953,11.84,3.859,-2.953,17.604,-1.582,-2.953,16.992,0.0,0.0,0.0,-9.9094,1.7786,2.6676
TypeA0_0010,0,5,6.767,1.407,4.065,6.384,2.0323,1.0,11.9621,2.392,0.333,15.354,0.119,-2.953,10.527,3.784,-2.953,10.332,4.709,-2.953,16.082,-0.517,-2.953,18.446,-2.295,-2.953,15.768,-14.3661,2.8154,1.7978
